FOR_IMPUESTO;FOR_CPTO_ORIGEN;FOR_CPTO_CALCULO;FOR_FORMULA_CALCULO;FOR_PRORRATEA;FOR_VIGENCIA_DESDE;FOR_VIGENCIA_HASTA;FOR_SALIDA_JSON
INM;INMCIUCUM;INMCIUCUM;df.INMCIUCUM;N;1/1/2023;31/12/2024;N
INM;PRUEBA2;PRUEBA2;df.PRUEBA2;N;1/1/2023;31/12/2024;N
AUT;AUTOASMT;AUTOASMT;df.montoPagado + df.montoRecargo;S;1/1/2023;31/12/2024;S
AUT;AUTMUN;AUTMUN;df.montoPagado + df.montoRecargo;S;1/1/2023;31/12/2024;S
AUT;AUTFTP;AUTFTP;df.montoPagado;N;1/1/2023;31/12/2024;S
AUT;GENERAL;GENERAL;df.montoRecargo;N;1/1/2023;31/12/2024;N
AUT;DTOPGOEL;GENERAL;df.montoRecargo;N;1/1/2023;31/12/2024;N
EMB;EMBASMT;EMBASMT;df.montoPagado + df.montoRecargo;N;1/1/2023;31/12/2024;S
INM;FDOFIDUDES;FDOFIDUDES;df.FDOFIDUDES + ((-df.INMRURCOTA - df.INMRURAEX + df.INMRURIPAP + df.INMFTP - df.DTOPGOEL - df.REDONDEO) * (df.FDOFIDUDES / (df.FDOFIDUDES + (df.INMRURASMT - df.INMCIUCUM))));N;1/1/2023;31/12/2024;S
INM;INMRURASMT;INMRURASMT;(df.INMRURASMT - df.INMCIUCUM) +  ((-df.INMRURCOTA - df.INMRURAEX + df.INMRURIPAP + df.INMFTP - df.DTOPGOEL - df.REDONDEO) * ((df.INMRURASMT - df.INMCIUCUM) / (df.FDOFIDUDES + (df.INMRURASMT - df.INMCIUCUM))));N;1/1/2023;31/12/2024;S
INM;INMRURCOTA;INMRURCOTA;df.INMRURCOTA;N;1/1/2023;31/12/2024;N
INM;INMRURAEX;INMRURAEX;df.INMRURAEX;N;1/1/2023;31/12/2024;N
INM;INMRURIPAP;INMRURIPAP;df.INMRURIPAP;N;1/1/2023;31/12/2024;N
INM;INMFTP;INMFTP;df.INMFTP;N;1/1/2023;31/12/2024;N
INM;DTOPGOEL;DTOPGOEL;df.DTOPGOEL;N;1/1/2023;31/12/2024;N
INM;REDONDEO;REDONDEO;df.REDONDEO;N;1/1/2023;31/12/2024;N
