FOR_ID;FOR_IMPUESTO;FOR_CPTO_ORIGEN;FOR_CPTO_CALCULO;FOR_FORMULA_CALCULO;FOR_PRORRATEA;FOR_SALIDA_JSON;FOR_CPTO_PRORRATEO;FOR_PORC_PRORRATEO;FOR_SUB_TIPO;FOR_VIGENCIA_DESDE;FOR_VIGENCIA_HASTA;FOR__USU_ALTA;FOR_FECHA_ALTA;FOR_USU_MODIF;FOR_FECHA_MODIF;FOR_FECHA_BAJA;FOR_USU_BAJA
1;AUT;AUTOASMT;AUTOASMT;df.montoPagado + df.montoRecargo;S;S;GENERAL;50;;1/1/2023;31/12/2024;DC;11/11/2023;;;;
2;AUT;AUTMUN;AUTMUN;df.montoPagado + df.montoRecargo;S;S;GENERAL;50;;1/1/2023;31/12/2024;DC;11/11/2023;;;;
3;AUT;AUTFTP;AUTFTP;df.montoPagado;N;S;;0;;1/1/2023;31/12/2024;DC;11/11/2023;;;;
4;AUT;GENERAL;GENERAL;df.montoRecargo;N;N;;0;;1/1/2023;31/12/2024;DC;11/11/2023;;;;
5;AUT;DTOPGOEL;GENERAL;df.montoRecargo;N;N;;0;;1/1/2023;31/12/2024;DC;11/11/2023;;;;
6;EMB;EMBASMT;EMBASMT;df.montoPagado + df.montoRecargo;N;S;;0;;1/1/2023;31/12/2024;DC;11/11/2023;;;;
7;INMR;FDOFIDUDES;FDOFIDUDES;df.FDOFIDUDES + ((df.INMRURCOTA + df.INMRURAEX + df.INMRURIPAP + df.INMFTP + df.DTOPGOEL + df.REDONDEO) * (df.FDOFIDUDES / (df.FDOFIDUDES + (df.INMRURASMT + df.INMCIUCUM))));N;S;;0;;1/1/2023;31/12/2024;DC;11/11/2023;;;;
8;INMR;INMRURASMT;INMRURASMT;(df.INMRURASMT + df.INMCIUCUM) + ((df.INMRURCOTA + df.INMRURAEX + df.INMRURIPAP + df.INMFTP + df.DTOPGOEL + df.REDONDEO) * ((df.INMRURASMT + df.INMCIUCUM) / (df.FDOFIDUDES + (df.INMRURASMT + df.INMCIUCUM))));N;S;;0;INMR;1/1/2023;31/12/2024;DC;11/11/2023;;;;
9;INMR;INMRURCOTA;INMRURCOTA;df.INMRURCOTA;N;N;;0;;1/1/2023;31/12/2024;DC;11/11/2023;;;;
10;INMR;INMRURAEX;INMRURAEX;df.INMRURAEX;N;N;;0;;1/1/2023;31/12/2024;DC;11/11/2023;;;;
11;INMR;INMRURIPAP;INMRURIPAP;df.INMRURIPAP;N;N;;0;;1/1/2023;31/12/2024;DC;11/11/2023;;;;
12;INMR;INMFTP;INMFTP;df.INMFTP;N;N;;0;;1/1/2023;31/12/2024;DC;11/11/2023;;;;
13;INMR;DTOPGOEL;DTOPGOEL;df.DTOPGOEL;N;N;;0;;1/1/2023;31/12/2024;DC;11/11/2023;;;;
14;INMR;GENERAL;REDONDEO;df.REDONDEO;N;N;;0;;1/1/2023;31/12/2024;DC;11/11/2023;;;;
15;INMR;INMCIUCUM;INMCIUCUM;df.INMCIUCUM;N;N;;0;;1/1/2023;31/12/2024;DC;11/11/2023;;;;
16;INMR;PRUEBA2;PRUEBA2;df.PRUEBA2;N;N;;0;;1/1/2023;31/12/2024;DC;11/11/2023;;;;
17;EMB;GENERAL;GENERAL;df.montoRecargo;N;N;;0;;1/1/2023;31/12/2024;DC;11/11/2023;;;;
18;EMB;DTOPGOEL;GENERAL;df.montoRecargo;N;N;;0;;1/1/2023;31/12/2024;DC;11/11/2023;;;;
19;INMP;INMURBASMT;INMURBASMT;(df.INMURBASMT + df.INMCIUCUM) + ((df.INMURBCOTA + df.INMURBEXE + df.INMURBIPAP + df.INMFTP + df.DTOPGOEL + df.GENERAL) * (df.INMURBASMT + df.INMCIUCUM) / (df.INMURBASMT + df.INMCIUCUM + df.FDOINFRGAS)) + df.ADIBALD;N;S;;0;INMP;1/1/2023;31/12/2024;DC;11/11/2023;;;;
20;INMP;INMCIUCUM;INMCIUCUM;df.INMCIUCUM ;N;N;;0;;1/1/2023;31/12/2024;DC;11/11/2023;;;;
21;INMP;ADIBALD;ADIBALD;df.ADIBALD;N;N;;0;;1/1/2023;31/12/2024;DC;11/11/2023;;;;
22;INMP;INMURBCOTA;INMURBCOTA;df.INMURBCOTA;N;N;;0;;1/1/2023;31/12/2024;DC;11/11/2023;;;;
23;INMP;INMURBEXE;INMURBEXE;df.INMURBEXE;N;N;;0;;1/1/2023;31/12/2024;DC;11/11/2023;;;;
24;INMP;INMURBIPAP;INMURBIPAP;df.INMURBIPAP;N;N;;0;;1/1/2023;31/12/2024;DC;11/11/2023;;;;
25;INMP;DTOPGOEL;DTOPGOEL;df.DTOPGOEL;N;N;;0;;1/1/2023;31/12/2024;DC;11/11/2023;;;;
26;INMP;GENERAL;GENERAL;df.GENERAL;N;N;;0;;1/1/2023;31/12/2024;DC;11/11/2023;;;;
27;INMP;INMFTP;INMFTP;df.INMFTP;N;N;;0;;1/1/2023;31/12/2024;DC;11/11/2023;;;;
28;INMP;FDOINFRGAS;FDOINFRGAS;df.FDOINFRGAS + ((df.INMURBCOTA + df.INMURBEXE + df.INMURBIPAP + df.INMFTP + df.DTOPGOEL + df.GENERAL) * (df.FDOINFRGAS / (df.INMURBASMT + df.INMCIUCUM + df.FDOINFRGAS)));N;S;;0;;1/1/2023;31/12/2024;DC;11/11/2023;;;;
29;INMM;INURMUASMT;INURMUASMT;(df.INURMUASMT + df.INMCIUCUMM + df.ADIBALDMUN) + ((df.INURCOTAMU + df.INMURBEXEM + df.INMURBIPAM + df.INMFTP + df.DTOPGOEL + df.GENERAL) * (df.INURMUASMT + df.INMCIUCUMM) / (df.INURMUASMT + df.INMCIUCUMM + df.FDOINGASMU));N;S;;0;INMM;1/1/2023;31/12/2024;DC;11/11/2023;;;;
30;INMM;INMCIUCUMM;INMCIUCUMM;df.INMCIUCUMM;N;N;;0;;1/1/2023;31/12/2024;DC;11/11/2023;;;;
